unique_id,canonical_bitmask,orientations,canonical_coords,black_remaining,white_remaining,diff_black_minus_white,parity_possible,solution_count
41437,1073744155,8,a1 a2 a4 a5 b3 b6 f1,15,14,1,1,0
41438,1627918402,8,a2 b1 c1 d2 e1 e6 f1,15,14,1,1,0
41439,1099436098,8,a2 b1 c1 d2 d6 e1 f1,14,15,-1,1,0
41440,1091178562,8,a2 b1 c1 c6 d2 e1 f1,15,14,1,1,0
41441,1091049538,8,a2 b1 b6 c1 d2 e1 f1,14,15,-1,1,0
41442,1073742454,8,a2 a3 a5 a6 b1 b4 f1,15,14,1,1,0
41659,17049681,8,a1 a5 b1 b6 c2 d1 e1,14,15,-1,1,0
41702,1091049552,8,a5 b1 b6 c1 d2 e1 f1,13,16,-3,1,0
41748,8566,8,a2 a3 a5 a6 b1 b3 c2,16,13,3,1,0
42436,270454,8,a2 a3 a5 a6 b1 c2 d1,16,13,3,1,0
42560,2164262939,8,a1 a2 a4 a5 b6 e1 f2,13,16,-3,1,0
42603,1090525266,8,a2 a5 b1 b6 c1 e1 f1,14,15,-1,1,0
44668,1387,8,a1 a2 a4 a6 b1 b3 b5,17,12,5,1,0
44670,8555,8,a1 a2 a4 a6 b1 b3 c2,17,12,5,1,0
44723,6325,8,a1 a3 a5 a6 b2 b6 c1,12,17,-5,1,0
45017,1451,8,a1 a2 a4 a6 b2 b3 b5,16,13,3,1,0
45019,4523,8,a1 a2 a4 a6 b2 b3 c1,15,14,1,1,0
45070,5291,8,a1 a2 a4 a6 b2 b5 c1,15,14,1,1,0
45075,5301,8,a1 a3 a5 a6 b2 b5 c1,13,16,-3,1,0
45393,949,8,a1 a3 a5 a6 b2 b3 b4,13,16,-3,1,0
45419,757,8,a1 a3 a5 a6 b1 b2 b4,13,16,-3,1,0
45420,5419,8,a1 a2 a4 a6 b3 b5 c1,16,13,3,1,0
45421,9515,8,a1 a2 a4 a6 b3 b5 c2,17,12,5,1,0
45422,17707,8,a1 a2 a4 a6 b3 b5 c3,16,13,3,1,0
45423,17077,8,a1 a3 a5 a6 b2 b4 c3,12,17,-5,1,0
45424,8885,8,a1 a3 a5 a6 b2 b4 c2,13,16,-3,1,0
45425,4789,8,a1 a3 a5 a6 b2 b4 c1,12,17,-5,1,0
45426,263467,8,a1 a2 a4 a6 b3 b5 d1,17,12,5,1,0
45427,525611,8,a1 a2 a4 a6 b3 b5 d2,16,13,3,1,0
45428,1049899,8,a1 a2 a4 a6 b3 b5 d3,17,12,5,1,0
45429,1049269,8,a1 a3 a5 a6 b2 b4 d3,13,16,-3,1,0
45430,524981,8,a1 a3 a5 a6 b2 b4 d2,12,17,-5,1,0
45431,262837,8,a1 a3 a5 a6 b2 b4 d1,13,16,-3,1,0
45432,16778539,8,a1 a2 a4 a6 b3 b5 e1,16,13,3,1,0
45433,33555755,8,a1 a2 a4 a6 b3 b5 e2,17,12,5,1,0
45434,67110187,8,a1 a2 a4 a6 b3 b5 e3,16,13,3,1,0
45435,67109557,8,a1 a3 a5 a6 b2 b4 e3,12,17,-5,1,0
45436,33555125,8,a1 a3 a5 a6 b2 b4 e2,13,16,-3,1,0
45437,16777909,8,a1 a3 a5 a6 b2 b4 e1,12,17,-5,1,0
45438,1073743147,8,a1 a2 a4 a6 b3 b5 f1,17,12,5,1,0
45439,1107568705,8,a1 b1 b6 c2 d1 e2 f1,16,13,3,1,0
45440,1099436161,8,a1 b2 c1 d2 d6 e1 f1,12,17,-5,1,0
45441,1091178625,8,a1 b2 c1 c6 d2 e1 f1,13,16,-3,1,0
45442,1091049601,8,a1 b2 b6 c1 d2 e1 f1,12,17,-5,1,0
45443,1073742517,8,a1 a3 a5 a6 b2 b4 f1,13,16,-3,1,0
45683,1074014289,8,a1 a5 b1 b6 c2 d1 f1,15,14,1,1,0
