unique_id,canonical_bitmask,orientations,canonical_coords,black_remaining,white_remaining,diff_black_minus_white,parity_possible
515945,1614840160,8,a6 b1 b3 c4 d5 e6 f1,18,11,7,0
516058,27279889,8,a1 a5 b4 c3 d4 d6 e1,11,18,-7,0
516060,77611537,8,a1 a5 b4 c3 d4 d6 e3,11,18,-7,0
516062,34898210,8,a2 a6 b3 c4 d1 d3 e2,18,11,7,0
516065,1611702344,8,a4 b1 c2 c4 d3 e6 f1,18,11,7,0
516067,1074962504,8,a4 b1 c2 c4 c6 d3 f1,18,11,7,0
516070,19480593,8,a1 a5 c3 c5 d2 d4 e1,11,18,-7,0
516072,287326737,8,a1 a5 b4 c3 d4 e1 e5,11,18,-7,0
516074,19417105,8,a1 a5 b6 c3 d2 d4 e1,11,18,-7,0
516076,27803665,8,a1 a5 c3 d2 d4 d6 e1,11,18,-7,0
516078,1611694370,8,a2 a6 b3 c4 d3 e6 f1,18,11,7,0
516090,168853794,8,a2 a6 b3 c4 d3 e2 e4,18,11,7,0
516093,19482625,8,a1 b6 c3 c5 d2 d4 e1,11,18,-7,0
516095,27869185,8,a1 c3 c5 d2 d4 d6 e1,11,18,-7,0
516097,1079025760,8,a6 b1 c2 c4 d3 d5 f1,18,11,7,0
516108,287852545,8,a1 b6 c3 d2 d4 e1 e5,11,18,-7,0
516110,296239105,8,a1 c3 d2 d4 d6 e1 e5,11,18,-7,0
516112,1074832480,8,a6 b1 b5 c2 c4 d3 f1,18,11,7,0
516121,27805697,8,a1 b6 c3 d2 d4 d6 e1,11,18,-7,0
516123,1611702368,8,a6 b1 c2 c4 d3 e6 f1,18,11,7,0
516197,92291601,8,a1 a5 b4 c3 d6 e1 e3,11,18,-7,0
516199,293618193,8,a1 a5 b4 c3 d6 e1 e5,11,18,-7,0
516201,2172666385,8,a1 a5 b4 c3 d6 e1 f2,11,18,-7,0
516203,4832133410,8,a2 a6 b3 c4 d1 e6 f3,18,11,7,0
516215,168067362,8,a2 a6 b3 c4 d1 e2 e4,18,11,7,0
516218,1615863880,8,a4 b1 c2 d3 d5 e6 f1,18,11,7,0
516220,1079124040,8,a4 b1 c2 c6 d3 d5 f1,18,11,7,0
516231,1611670600,8,a4 b1 b5 c2 d3 e6 f1,18,11,7,0
516233,1074930760,8,a4 b1 b5 c2 c6 d3 f1,18,11,7,0
516242,1611800648,8,a4 b1 c2 c6 d3 e6 f1,18,11,7,0
516257,285818897,8,a1 a5 c3 c5 d2 e1 e5,11,18,-7,0
516259,17385489,8,a1 a5 b6 c3 c5 d2 e1,11,18,-7,0
516261,25772049,8,a1 a5 c3 c5 d2 d6 e1,11,18,-7,0
